vercel_project_name	deployment_id	deployment_url	created_at	production_or_preview	deployment_state	source_branch	source_commit	mapped_project_id	notes
glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	dpl_Fi3sBHLj5aGJEyG3UyrRWW5P8J4u	https://glasslab-cross-browser-liquid-toggle-drag-tap-cross-mu7gc8gy6.vercel.app	2026-07-10T04:57:59.246000+00:00	production	READY				
glasslab-glass-model-1-glass-model-src	dpl_8CzLV6qufLw4VBEUVhXbg2H91rPV	https://glasslab-glass-model-1-glass-model-1knfxye64.vercel.app	2026-07-10T04:57:35.979000+00:00	production	READY				
glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	dpl_7fHTkoePjLTmg7rFpWMtVBwKGndX	https://glasslab-slider-button-liquid-glass-apple-ios-262025-bnixcq19r.vercel.app	2026-07-10T04:57:12.604000+00:00	production	READY				
glasslab-glassmorphism-main-glassmorphism-main	dpl_64y2tkGTaSbFExfrRRkPYL5ES6Bj	https://glasslab-glassmorphism-main-glassmorphism-main-16mkuhz11.vercel.app	2026-07-10T04:56:55.729000+00:00	production	READY				
glasslab-gallery	dpl_6dzqpuAhFymtSvN6V5JcNomtNtM5	https://glasslab-gallery-6prv41n8b-lekandigitals-projects.vercel.app	2026-07-10T02:36:23.662000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch	dpl_D3MaVyk9doC3ELVmMaUeBKJuGjwh	https://glasslab-frontend-projects-main-frontend-projects-g6boog91z.vercel.app	2026-07-10T02:35:36.070000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch	dpl_2HzVDmGVkebSGcTDXQ7x31pLdaAM	https://glasslab-frontend-projects-main-frontend-projects-b8xetfdll.vercel.app	2026-07-10T02:35:12.363000+00:00	production	READY				
glasslab-liquid-glass-react-master-liquid-glass-react-master	dpl_HZYgWAcAQK3fXjS5uyRZEh7i7ZJS	https://glasslab-liquid-glass-react-master-liquid-glass-reac-kxcgugkl4.vercel.app	2026-07-10T02:34:17.289000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-packages-react	dpl_H2TLk2EfjKTeN8iHXdfPAbBFyNFW	https://glasslab-liquid-dom-master-1-liquid-dom-master-packa-jk0mg0lhr.vercel.app	2026-07-10T02:34:08.251000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-packages-three	dpl_GCsHV6Za3HH9a6caaY2FMR4KHBQu	https://glasslab-liquid-dom-master-1-liquid-dom-master-packa-igaqe7lnz.vercel.app	2026-07-10T02:33:58.428000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-packages-r3f	dpl_5aGwZAY64B8J444esvofURn1AFKx	https://glasslab-liquid-dom-master-1-liquid-dom-master-packa-qevywopvb.vercel.app	2026-07-10T02:33:19.431000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-packages-core	dpl_Grf1aZLEK7HpyMDPwQNVHzAkbTn9	https://glasslab-liquid-dom-master-1-liquid-dom-master-packa-ocn4x8yke.vercel.app	2026-07-10T02:33:12.068000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-demo-blending	dpl_DAASUg4GTMcGU45AgbTvoaiJQMBM	https://glasslab-liquid-dom-master-1-liquid-dom-master-demo-hseuh0fyh.vercel.app	2026-07-10T02:33:01.837000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-r3f	dpl_6FdwrekQRkch7NeThYnJwEEqV9vE	https://glasslab-liquid-dom-master-1-liquid-dom-master-demo-afn7uz2f4.vercel.app	2026-07-10T02:32:52.751000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-demo-showcase	dpl_wMArXhmiAZ4YSqFvifQEEenDaFdH	https://glasslab-liquid-dom-master-1-liquid-dom-master-demo-proktobp1.vercel.app	2026-07-10T02:32:44.815000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-layout	dpl_thdC2KcAkLAx7V4G9kQ4DvvqRnh2	https://glasslab-liquid-dom-master-1-liquid-dom-master-demo-6khhx2uhn.vercel.app	2026-07-10T02:32:37.346000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three	dpl_D1cCM8DXpu3BQPWeUECTqJT8YH6Y	https://glasslab-liquid-dom-master-1-liquid-dom-master-demo-ptay772k6.vercel.app	2026-07-10T02:32:25.174000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-demo-minimal	dpl_59acMdVi1pqky2gzU5mgW8V3VVcF	https://glasslab-liquid-dom-master-1-liquid-dom-master-demo-k3wwbed14.vercel.app	2026-07-10T02:32:16.153000+00:00	production	READY				
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-react	dpl_Gz26gzDeZtjNKmPro1bShewL2d8h	https://glasslab-liquid-dom-master-1-liquid-dom-master-demo-guqmxyl33.vercel.app	2026-07-10T02:32:07.234000+00:00	production	READY				
glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue	dpl_FG5cViCcgUJdxjTUs4KUvvgNzdHc	https://glasslab-frontend-projects-main-frontend-projects-m6vphdowh.vercel.app	2026-07-10T02:31:42.550000+00:00	production	READY				
glasslab-apple-liquid-glass-experiments-1-apple-liquid-glass-experiments-src	dpl_EDRBG7T3T6832fPpj5kChMbeWcFx	https://glasslab-apple-liquid-glass-experiments-1-apple-liqu-ggvozsjd4.vercel.app	2026-07-10T02:30:26.176000+00:00	production	READY				
glasslab-liquid-glass-4-liquid-glass-src	dpl_FgCvSavx5iZy8aXWD8tPx5ioG254	https://glasslab-liquid-glass-4-liquid-glass-9hnpufmxb.vercel.app	2026-07-10T02:30:18.729000+00:00	production	READY				
glasslab-liquid-glass-switcher-css-1-liquid-glass-switcher-css-src	dpl_Hs5gkinNEKgNyaGadKDehUwA2bUQ	https://glasslab-liquid-glass-switcher-css-1-liquid-glass-rcs6wopkv.vercel.app	2026-07-10T02:30:10.644000+00:00	production	READY				
glasslab-liquid-glass-2-liquid-glass-src	dpl_3doeEj6GD9VDFY1tyxRMvheUdRfg	https://glasslab-liquid-glass-2-liquid-glass-aro9uflk5.vercel.app	2026-07-10T02:30:04.581000+00:00	production	READY				
glasslab-liquid-glass-5-liquid-glass-src	dpl_FpXTHGJWA49zedU4KGypuWY9UGG1	https://glasslab-liquid-glass-5-liquid-glass-aoqnyqrp1.vercel.app	2026-07-10T02:29:57.886000+00:00	production	READY				
glasslab-liquid-glass-shader-liquid-glass-shader-src	dpl_9GN8FQGof4kfcw29WFDUMuPyi3QR	https://glasslab-liquid-glass-shader-liquid-glass-shader-mgdrp5rsq.vercel.app	2026-07-10T02:29:45.211000+00:00	production	READY				
glasslab-apple-liquid-glass-1-apple-liquid-glass-src	dpl_9JMdFauUkUUuaBMaNi4L5koFmvSp	https://glasslab-apple-liquid-glass-1-apple-liquid-glass-jknwz74mh.vercel.app	2026-07-10T02:29:38.282000+00:00	production	READY				
glasslab-liquid-glass-react-master-liquid-glass-react-master-liquid-glass-example	dpl_BgSVK5Vq7t48K7P9VM7kPDtJTRvd	https://glasslab-liquid-glass-react-master-liquid-glass-reac-6dzduehvx.vercel.app	2026-07-10T02:29:29.302000+00:00	production	READY				
glasslab-liquid-glass-fluid-movement-1-liquid-glass-fluid-movement-src	dpl_Acof6PhbQtJvSxbV8TMHjYV8zPB7	https://glasslab-liquid-glass-fluid-movement-1-liquid-glass-jf5b0j1ot.vercel.app	2026-07-10T02:28:55.078000+00:00	production	READY				
glasslab-liquid-glass-tainwildcss-1-liquid-glass-tainwildcss-src	dpl_6TUmUtDvVPqNkzCycUn53ew3cRSo	https://glasslab-liquid-glass-tainwildcss-1-liquid-glass-a6t6ws278.vercel.app	2026-07-10T02:28:48.917000+00:00	production	READY				
glasslab-liquid-glass-components-1-liquid-glass-components-src	dpl_6YVBj4UtpC1Su4dkBVaHCvEMsBJS	https://glasslab-liquid-glass-components-1-liquid-glass-comp-n4adt99fi.vercel.app	2026-07-10T02:28:42.142000+00:00	production	READY				
glasslab-liquid-glass-js-main-liquid-glass-js-main	dpl_CMKvnqEfST2stkCVhiBgnLu6a1v2	https://glasslab-liquid-glass-js-main-liquid-glass-js-main-aykrsyr9f.vercel.app	2026-07-10T02:28:34.236000+00:00	production	READY				
glasslab-untitled-6-untitled-src	dpl_BMSRhHLDvJg9nNbDsLxxHmsK6YSK	https://glasslab-untitled-6-untitled-g6xxujqcl-lekandigitals-projects.vercel.app	2026-07-10T02:28:27.337000+00:00	production	READY				
