archive_name	candidate_root	candidate_type	reason
liquidgl-main	/Users/lekan/Dev/glass-projects-lab/originals/liquidgl-main/liquidGL-main/package	library	Backend or library without demo
frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app/server	backend-only	Backend or library without demo
frontend-projects-main	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/advanced-javascript-class/word-guess-game/src	backend-only	Backend or library without demo
