archive_name	duplicate_of	reason
lab-main	lab-main-1	Exact archive directory duplicate
liquidgl-main-1	liquidgl-main	Exact archive directory duplicate
glass-refraction-master-2	glass-refraction-master-1	Exact archive directory duplicate
liquid-glass-3	liquid-glass-6	Exact archive directory duplicate
