archive_name	archive_root	candidate_root	candidate_type	framework	package_manager	lockfile	project_name
pure-css-glassmorphism-liquid-glass-ui-kit-1	/Users/lekan/Dev/glass-projects-lab/originals/pure-css-glassmorphism-liquid-glass-ui-kit-1	/Users/lekan/Dev/glass-projects-lab/originals/pure-css-glassmorphism-liquid-glass-ui-kit-1/pure-css-glassmorphism-liquid-glass-ui-kit/src	static-html	static-html	npm		glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src
select-dropdown-with-appearance-base-select-liquid-glass-1	/Users/lekan/Dev/glass-projects-lab/originals/select-dropdown-with-appearance-base-select-liquid-glass-1	/Users/lekan/Dev/glass-projects-lab/originals/select-dropdown-with-appearance-base-select-liquid-glass-1/select-dropdown-with-appearance-base-select-liquid-glass/src	static-html	static-html	npm		glasslab-select-dropdown-with-appearance-base-select-liquid-glass-1-select-dropdown-with-appearance-base-select-liquid-glass-src
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master	unknown	unknown	pnpm	pnpm-lock.yaml	glasslab-liquid-dom-master-1-liquid-dom-master
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/demo/three-react	vite-react	vite-react	npm		glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-react
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/demo/minimal	vite-react	vite-react	npm		glasslab-liquid-dom-master-1-liquid-dom-master-demo-minimal
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/demo/three	vite-vanilla	vite-vanilla	npm		glasslab-liquid-dom-master-1-liquid-dom-master-demo-three
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/demo/three-layout	vite-vanilla	vite-vanilla	npm		glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-layout
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/demo/showcase	vite-react	vite-react	npm		glasslab-liquid-dom-master-1-liquid-dom-master-demo-showcase
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/demo/three-r3f	vite-react	vite-react	npm		glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-r3f
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/demo/blending	vite-react	vite-react	npm		glasslab-liquid-dom-master-1-liquid-dom-master-demo-blending
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/packages/core	unknown	unknown	npm		glasslab-liquid-dom-master-1-liquid-dom-master-packages-core
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/packages/layout	vite-react	vite-react	npm		glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/packages/layout/playground	static-html	static-html	npm		glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout-playground
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/packages/r3f	unknown	unknown	npm		glasslab-liquid-dom-master-1-liquid-dom-master-packages-r3f
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/packages/three	unknown	unknown	npm		glasslab-liquid-dom-master-1-liquid-dom-master-packages-three
liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-dom-master-1/liquid-dom-master/packages/react	unknown	unknown	npm		glasslab-liquid-dom-master-1-liquid-dom-master-packages-react
untitled-6	/Users/lekan/Dev/glass-projects-lab/originals/untitled-6	/Users/lekan/Dev/glass-projects-lab/originals/untitled-6/untitled/src	static-html	static-html	npm		glasslab-untitled-6-untitled-src
liquid-glass-js-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-js-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-js-main/liquid-glass-js-main	static-html	static-html	npm		glasslab-liquid-glass-js-main-liquid-glass-js-main
liquid-glass-components-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-components-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-components-1/liquid-glass-components/src	codepen-export	codepen-export	npm		glasslab-liquid-glass-components-1-liquid-glass-components-src
liquid-glass-tainwildcss-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-tainwildcss-1	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-tainwildcss-1/liquid-glass-tainwildcss/src	static-html	static-html	npm		glasslab-liquid-glass-tainwildcss-1-liquid-glass-tainwildcss-src
